operation,type,mode,size,time
ADD,scalar,sgx,0.2,0.0976
ADD,unroll,sgx,0.2,0.092
ADD,simd_sse,sgx,0.2,0.0942
SIMD_load_store,simd_avx,sgx,0.2,0.043
ADD,simd_avx,sgx,0.2,0.0394
AND,scalar,sgx,0.2,0.041
AND,unroll,sgx,0.2,0.0283
AND,simd_sse,sgx,0.2,0.0366
AND,simd_avx,sgx,0.2,0.0227
SHIFT_RIGHT,scalar,sgx,0.2,0.0259
SHIFT_RIGHT,unroll,sgx,0.2,0.02
SHIFT_RIGHT,simd_sse,sgx,0.2,0.0285
SHIFT_RIGHT,simd_avx,sgx,0.2,0.0186
ADD,scalar,sgx,6.4,0.54
ADD,unroll,sgx,6.4,0.416
ADD,simd_sse,sgx,6.4,0.714
SIMD_load_store,simd_avx,sgx,6.4,0.405
ADD,simd_avx,sgx,6.4,0.41
AND,scalar,sgx,6.4,0.534
AND,unroll,sgx,6.4,0.414
AND,simd_sse,sgx,6.4,0.672
AND,simd_avx,sgx,6.4,0.407
SHIFT_RIGHT,scalar,sgx,6.4,0.535
SHIFT_RIGHT,unroll,sgx,6.4,0.415
SHIFT_RIGHT,simd_sse,sgx,6.4,0.718
SHIFT_RIGHT,simd_avx,sgx,6.4,0.409
ADD,scalar,sgx,16,1.47
ADD,unroll,sgx,16,1.19
ADD,simd_sse,sgx,16,1.81
SIMD_load_store,simd_avx,sgx,16,1.08
ADD,simd_avx,sgx,16,1.1
AND,scalar,sgx,16,1.45
AND,unroll,sgx,16,1.19
AND,simd_sse,sgx,16,1.73
AND,simd_avx,sgx,16,1.1
SHIFT_RIGHT,scalar,sgx,16,1.45
SHIFT_RIGHT,unroll,sgx,16,1.19
SHIFT_RIGHT,simd_sse,sgx,16,1.83
SHIFT_RIGHT,simd_avx,sgx,16,1.09
ADD,scalar,sgx,100,10.4
ADD,unroll,sgx,100,9.09
ADD,simd_sse,sgx,100,12
SIMD_load_store,simd_avx,sgx,100,7.82
ADD,simd_avx,sgx,100,7.88
AND,scalar,sgx,100,10.4
AND,unroll,sgx,100,9.04
AND,simd_sse,sgx,100,11.4
AND,simd_avx,sgx,100,7.92
SHIFT_RIGHT,scalar,sgx,100,10.3
SHIFT_RIGHT,unroll,sgx,100,9.1
SHIFT_RIGHT,simd_sse,sgx,100,12
SHIFT_RIGHT,simd_avx,sgx,100,7.84
ADD,scalar,native,0.2,0.0999
ADD,unroll,native,0.2,0.0462
ADD,simd_sse,native,0.2,0.0526
SIMD_load_store,simd_avx,native,0.2,0.02
ADD,simd_avx,native,0.2,0.0284
AND,scalar,native,0.2,0.0807
AND,unroll,native,0.2,0.0473
AND,simd_sse,native,0.2,0.0488
AND,simd_avx,native,0.2,0.028
SHIFT_RIGHT,scalar,native,0.2,0.0805
SHIFT_RIGHT,unroll,native,0.2,0.0466
SHIFT_RIGHT,simd_sse,native,0.2,0.0474
SHIFT_RIGHT,simd_avx,native,0.2,0.0261
ADD,scalar,native,6.4,2.54
ADD,unroll,native,6.4,1.49
ADD,simd_sse,native,6.4,1.64
SIMD_load_store,simd_avx,native,6.4,0.657
ADD,simd_avx,native,6.4,0.909
AND,scalar,native,6.4,2.54
AND,unroll,native,6.4,1.5
AND,simd_sse,native,6.4,1.58
AND,simd_avx,native,6.4,0.895
SHIFT_RIGHT,scalar,native,6.4,2.54
SHIFT_RIGHT,unroll,native,6.4,1.5
SHIFT_RIGHT,simd_sse,native,6.4,1.54
SHIFT_RIGHT,simd_avx,native,6.4,0.854
ADD,scalar,native,16,6.44
ADD,unroll,native,16,3.83
ADD,simd_sse,native,16,4.18
SIMD_load_store,simd_avx,native,16,1.76
ADD,simd_avx,native,16,2.38
AND,scalar,native,16,6.42
AND,unroll,native,16,3.83
AND,simd_sse,native,16,4.03
AND,simd_avx,native,16,2.35
SHIFT_RIGHT,scalar,native,16,6.42
SHIFT_RIGHT,unroll,native,16,3.83
SHIFT_RIGHT,simd_sse,native,16,3.95
SHIFT_RIGHT,simd_avx,native,16,2.24
ADD,scalar,native,100,41.3
ADD,unroll,native,100,25
ADD,simd_sse,native,100,27.2
SIMD_load_store,simd_avx,native,100,12.2
ADD,simd_avx,native,100,15.8
AND,scalar,native,100,41.2
AND,unroll,native,100,25
AND,simd_sse,native,100,26.3
AND,simd_avx,native,100,15.6
SHIFT_RIGHT,scalar,native,100,41.3
SHIFT_RIGHT,unroll,native,100,25
SHIFT_RIGHT,simd_sse,native,100,25.6
SHIFT_RIGHT,simd_avx,native,100,14.9
